,data,fonte,id,descricao,endereco,rua,numero,bairro,cidade,valor,periodicidade,condominio,area,qtd_banheiros,qtd_quartos,qtd_vagas,url,amenities
5882,2023-11-04 19:07:09.643809,Viva Real,2660813555,"Apartamento com 2 Quartos para Aluguel, 140m²","Jurerê, Florianópolis - SC",,,Jurerê,florianopolis,1200,Dia,,140,2,2,2,https://vivareal.com.br/imovel/apartamento-2-quartos-jurere-bairros-florianopolis-com-garagem-140m2-aluguel-RS1200-id-2660813555/,Piscina; Mobiliado; Churrasqueira; Elevador; Condomínio fechado; ...
5883,2023-11-04 19:07:09.646078,Viva Real,2657449263,"Casa com 3 Quartos para Aluguel, 290m²","Jurerê, Florianópolis - SC",,,Jurerê,florianopolis,4500,Dia,,290,5,3,4,https://vivareal.com.br/imovel/casa-3-quartos-jurere-bairros-florianopolis-com-garagem-290m2-aluguel-RS4500-id-2657449263/,Mobiliado; Churrasqueira; Ar-condicionado; Cozinha; Depósito; ...
5884,2023-11-04 19:07:09.648270,Viva Real,2662051762,"Apartamento com 2 Quartos para Aluguel, 75m²","Rodovia Virgílio Várzea, 2236 - Saco Grande, Florianópolis - SC",Rodovia Virgílio Várzea,2236, Saco Grande,florianopolis,2950,Mês,710,75,2,2,1,https://vivareal.com.br/imovel/apartamento-2-quartos-saco-grande-bairros-florianopolis-com-garagem-75m2-aluguel-RS2950-id-2662051762/,Elevador; Playground; Academia; Interfone; Área de serviço
5885,2023-11-04 19:07:09.650324,Viva Real,2656548157,"Apartamento com 3 Quartos para Aluguel, 104m²","Rua das Corticeiras, 81 - Campeche, Florianópolis - SC",Rua das Corticeiras,81, Campeche,florianopolis,7500,Mês,1000,104,2,3,2,https://vivareal.com.br/imovel/apartamento-3-quartos-campeche-bairros-florianopolis-com-garagem-104m2-aluguel-RS7500-id-2656548157/,Mobiliado; Academia; Garagem; Ar-condicionado; Jardim; ...
5886,2023-11-04 19:07:09.799506,Viva Real,2538161683,"Casa com  Quarto para Aluguel, 35m²","Ponta das Canas, Florianópolis - SC",,,Ponta das Canas,florianopolis,280,Dia,,35,1,1,,https://vivareal.com.br/imovel/casa-1-quartos-ponta-das-canas-bairros-florianopolis-35m2-aluguel-RS280-id-2538161683/,Ar-condicionado; Conexão à internet
5887,2023-11-04 19:07:09.802723,Viva Real,2645875900,"Casa com 3 Quartos para Aluguel, 100m²","Trindade, Florianópolis - SC",,,Trindade,florianopolis,3600,Mês,,100,1,3,,https://vivareal.com.br/imovel/casa-3-quartos-trindade-bairros-florianopolis-100m2-aluguel-RS3600-id-2645875900/,
5888,2023-11-04 19:07:09.805072,Viva Real,2665443114,"Apartamento com 3 Quartos para Aluguel, 135m²","Campeche, Florianópolis - SC",,,Campeche,florianopolis,9900,Mês,944,135,3,3,1,https://vivareal.com.br/imovel/apartamento-3-quartos-campeche-bairros-florianopolis-com-garagem-135m2-aluguel-RS9900-id-2665443114/,Churrasqueira; Elevador; Varanda; Academia; Espaço gourmet; ...
5889,2023-11-04 19:07:09.807339,Viva Real,2632058698,"Apartamento com 2 Quartos para Aluguel, 86m²","Rua Presidente Nereu Ramos, 281 - Centro, Florianópolis - SC",Rua Presidente Nereu Ramos,281, Centro,florianopolis,4200,Mês,1128,86,2,2,2,https://vivareal.com.br/imovel/apartamento-2-quartos-centro-bairros-florianopolis-com-garagem-86m2-aluguel-RS4200-id-2632058698/,Garagem
5890,2023-11-04 19:07:09.809442,Viva Real,2661653471,"Ponto comercial/Loja/Box    para Aluguel, 75m²","Avenida das Raias - Jurerê Internacional, Florianópolis - SC",Avenida das Raias ,, Jurerê Internacional,florianopolis,13500,Mês,,75,1,,1,https://vivareal.com.br/imovel/jurere-internacional-bairros-florianopolis-com-garagem-75m2-aluguel-RS13500-id-2661653471/,Garagem; Cozinha
5891,2023-11-04 19:07:09.811564,Viva Real,2659542856,"Apartamento com 2 Quartos para Aluguel, 108m²","Rua Doutor Armínio Tavares, 120 - Centro, Florianópolis - SC",Rua Doutor Armínio Tavares,120, Centro,florianopolis,12157,Mês,1088,108,3,2,2,https://vivareal.com.br/imovel/apartamento-2-quartos-centro-bairros-florianopolis-com-garagem-108m2-aluguel-RS12157-id-2659542856/,Piscina; Varanda; Academia; Garagem; Área de serviço; ...
5892,2023-11-04 19:07:09.814236,Viva Real,2657384086,"Casa com 2 Quartos para Aluguel, 70m²","Canto da Lagoa, Florianópolis - SC",,,Canto da Lagoa,florianopolis,3000,Mês,,70,2,2,2,https://vivareal.com.br/imovel/casa-2-quartos-canto-da-lagoa-bairros-florianopolis-com-garagem-70m2-aluguel-RS3000-id-2657384086/,Jardim; Varanda
5893,2023-11-04 19:07:09.816795,Viva Real,2656882205,"Casa com 4 Quartos para Aluguel, 391m²","Rua dos Tucunarés, 300 - Jurerê Internacional, Florianópolis - SC",Rua dos Tucunarés,300, Jurerê Internacional,florianopolis,20000,Mês,,391,5,4,2,https://vivareal.com.br/imovel/casa-4-quartos-jurere-internacional-bairros-florianopolis-com-garagem-391m2-aluguel-RS20000-id-2656882205/,Mobiliado; Aceita animais; Ar-condicionado; Varanda gourmet; Closet; ...
5894,2023-11-04 19:07:09.819377,Viva Real,2650773101,"Sala/Conjunto    para Aluguel, 37m²","Rua Vidal Ramos - Centro, Florianópolis - SC",Rua Vidal Ramos ,, Centro,florianopolis,2200,Mês,,37,1,,,https://vivareal.com.br/imovel/sala-comercial-centro-bairros-florianopolis-37m2-aluguel-RS2200-id-2650773101/,
5895,2023-11-04 19:07:09.821725,Viva Real,2655903660,"Casa com 4 Quartos para Aluguel, 160m²","Rua dos Botos, 1 - Jurerê Internacional, Florianópolis - SC",Rua dos Botos,1, Jurerê Internacional,florianopolis,3800,Dia,,160,2,4,4,https://vivareal.com.br/imovel/casa-4-quartos-jurere-internacional-bairros-florianopolis-com-garagem-160m2-aluguel-RS3800-id-2655903660/,Piscina; Mobiliado; Churrasqueira; Quintal; Aceita animais; ...
5896,2023-11-04 19:07:09.824056,Viva Real,2612620097,"Apartamento com 3 Quartos para Aluguel, 170m²","Rua das Piraúnas, 1540 - Jurerê Internacional, Florianópolis - SC",Rua das Piraúnas,1540, Jurerê Internacional,florianopolis,16000,Mês,1000,170,4,3,2,https://vivareal.com.br/imovel/apartamento-3-quartos-jurere-internacional-bairros-florianopolis-com-garagem-170m2-aluguel-RS16000-id-2612620097/,Piscina; Mobiliado; Churrasqueira; Elevador; Condomínio fechado; ...
