data,fonte,id,descricao,endereco,rua,numero,bairro,cidade,valor,periodicidade,condominio,area,qtd_banheiros,qtd_quartos,qtd_vagas,url,amenities
2023-11-07 15:35:10.974503,Vivareal,2607330073,"Sala/Conjunto    para Aluguel, 120m²","Centro, Florianópolis - SC",,,Centro,florianopolis,9800,Mês,,120.0,,,,https://vivareal.com.br/imovel/sala-comercial-centro-bairros-florianopolis-120m2-aluguel-RS9800-id-2607330073/,Interfone
2023-11-07 15:35:10.975926,Vivareal,2609802580,"Casa com 5 Quartos para Aluguel, 400m²","Rua dos Cações, 47 - Jurerê Internacional, Florianópolis - SC",Rua dos Cações,47.0, Jurerê Internacional,florianopolis,28000,Mês,,400.0,6.0,5.0,5.0,https://vivareal.com.br/imovel/casa-5-quartos-jurere-internacional-bairros-florianopolis-com-garagem-400m2-aluguel-RS28000-id-2609802580/,Piscina; Mobiliado; Churrasqueira; Varanda; Quintal; ...
2023-11-07 15:35:10.977352,Vivareal,2554405492,"Sala/Conjunto    para Aluguel, 80m²","Rodovia José Carlos Daux - Cacupé, Florianópolis - SC",Rodovia José Carlos Daux ,, Cacupé,florianopolis,3599,Mês,,80.0,3.0,,3.0,https://vivareal.com.br/imovel/sala-comercial-cacupe-bairros-florianopolis-com-garagem-80m2-aluguel-RS3599-id-2554405492/,Elevador; Garagem; Jardim
2023-11-07 15:35:10.978743,Vivareal,2593461115,"Ponto comercial/Loja/Box    para Aluguel, 520m²","Rodovia José Carlos Daux - Santo Antônio de Lisboa, Florianópolis - SC",Rodovia José Carlos Daux ,, Santo Antônio de Lisboa,florianopolis,24960,Mês,,520.0,1.0,,5.0,https://vivareal.com.br/imovel/ponto-comercial-santo-antonio-de-lisboa-bairros-florianopolis-com-garagem-520m2-aluguel-RS24960-id-2593461115/,Jardim; Aceita animais
2023-11-07 15:35:10.980089,Vivareal,2658546696,"Sala/Conjunto    para Aluguel, 592m²","Balneário, Florianópolis - SC",,,Balneário,florianopolis,26500,Mês,,592.0,1.0,,1.0,https://vivareal.com.br/imovel/sala-comercial-balneario-bairros-florianopolis-com-garagem-592m2-aluguel-RS26500-id-2658546696/,
2023-11-07 15:35:10.981463,Vivareal,2625804830,"Casa com 3 Quartos para Aluguel, 75m²","Rua Vereador Frederico Veras, 717 - Pantanal, Florianópolis - SC",Rua Vereador Frederico Veras,717.0, Pantanal,florianopolis,3390,Mês,,75.0,1.0,3.0,1.0,https://vivareal.com.br/imovel/casa-3-quartos-pantanal-bairros-florianopolis-com-garagem-75m2-aluguel-RS3390-id-2625804830/,Ar-condicionado; Cozinha; Área de serviço
2023-11-07 15:35:10.982778,Vivareal,2643199883,"Sala/Conjunto    para Aluguel, 200m²","Rodovia Jornalista Manoel de Menezes, 631 - Lagoa da Conceição, Florianópolis - SC",Rodovia Jornalista Manoel de Menezes,631.0, Lagoa da Conceição,florianopolis,11600,Mês,,200.0,2.0,,,https://vivareal.com.br/imovel/sala-comercial-lagoa-da-conceicao-bairros-florianopolis-200m2-aluguel-RS11600-id-2643199883/,Cozinha
2023-11-07 15:35:10.984134,Vivareal,2620068865,"Sala/Conjunto    para Aluguel, 84m²","Rua Álvaro de Carvalho - Centro, Florianópolis - SC",Rua Álvaro de Carvalho ,, Centro,florianopolis,1600,Mês,,84.0,1.0,,1.0,https://vivareal.com.br/imovel/sala-comercial-centro-bairros-florianopolis-com-garagem-84m2-aluguel-RS1600-id-2620068865/,Elevador
2023-11-07 15:35:10.985490,Vivareal,2665046669,"Ponto comercial/Loja/Box    para Aluguel, 162m²","Centro, Florianópolis - SC",,,Centro,florianopolis,16000,Mês,,162.0,1.0,,,https://vivareal.com.br/imovel/ponto-comercial-centro-bairros-florianopolis-162m2-aluguel-RS16000-id-2665046669/,Cozinha; Depósito
2023-11-07 15:35:10.986908,Vivareal,2665049243,"Sala/Conjunto    para Aluguel, 240m²","Centro, Florianópolis - SC",,,Centro,florianopolis,5000,Mês,,240.0,2.0,,,https://vivareal.com.br/imovel/sala-comercial-centro-bairros-florianopolis-240m2-aluguel-RS5000-id-2665049243/,Piscina; Churrasqueira; Elevador; Condomínio fechado; Jardim; ...
