,data,fonte,descricao,endereco,rua,numero,bairro,cidade,valor,periodicidade,condominio,area,qtd_banheiros,qtd_quartos,qtd_vagas,url
14,2023-10-26 14:03:29.971505,Viva Real,"Apartamento com 3 Quartos para Aluguel, 100m²","Rio Tavares, Florianópolis , SC",Rio Tavares,,Rio Tavares,florianopolis,         5200 ,Mês,800,100,2,3,2,https://vivareal.com.br/imovel/apartamento-3-quartos-rio-tavares-bairros-florianopolis-com-garagem-100m2-aluguel-RS5200-id-2664488797/
15,2023-10-26 14:03:29.976322,Viva Real,"Sala/Conjunto    para Aluguel, 18m²","Rua Felipe Schmidt , Centro, Florianópolis , SC",Rua Felipe Schmidt ,, Centro,florianopolis,         480 ,Mês,,18,1,,,https://vivareal.com.br/imovel/sala-comercial-centro-bairros-florianopolis-18m2-aluguel-RS480-id-2664392916/
16,2023-10-26 14:03:29.981301,Viva Real,"Apartamento com 2 Quartos para Aluguel, 75m²","Jardim Atlântico, Florianópolis , SC",Jardim Atlântico,,Jardim Atlântico,florianopolis,         2550 ,Mês,565,75,1,2,1,https://vivareal.com.br/imovel/apartamento-2-quartos-jardim-atlantico-bairros-florianopolis-com-garagem-75m2-aluguel-RS2550-id-2664488610/
17,2023-10-26 14:03:29.986117,Viva Real,"Sala/Conjunto com  Quarto para Aluguel, 23m²","Rua Felipe Schmidt , Centro, Florianópolis , SC",Rua Felipe Schmidt ,, Centro,florianopolis,         650 ,Mês,,23,1,1,,https://vivareal.com.br/imovel/sala-comercial-1-quartos-centro-bairros-florianopolis-23m2-aluguel-RS650-id-2664453004/
18,2023-10-26 14:03:29.990808,Viva Real,"Ponto comercial/Loja/Box    para Aluguel, 61m²","Rua Madre Maria Vilac, 525 , Canasvieiras, Florianópolis , SC",Rua Madre Maria Vilac,525, Canasvieiras,florianopolis,         3000 ,Mês,,61,1,,1,https://vivareal.com.br/imovel/ponto-comercial-canasvieiras-bairros-florianopolis-com-garagem-61m2-aluguel-RS3000-id-2664467444/
19,2023-10-26 14:03:29.995693,Viva Real,"Apartamento com 2 Quartos para Aluguel, 76m²","Rua Hipólito Mafra , Saco dos Limões, Florianópolis , SC",Rua Hipólito Mafra ,, Saco dos Limões,florianopolis,         3600 ,Mês,420,76,2,2,1,https://vivareal.com.br/imovel/apartamento-2-quartos-saco-dos-limoes-bairros-florianopolis-com-garagem-76m2-aluguel-RS3600-id-2664283796/
20,2023-10-26 14:03:30.000366,Viva Real,"Casa com 2 Quartos para Aluguel, 84m²","São João do Rio Vermelho, Florianópolis , SC",São João do Rio Vermelho,,São João do Rio Vermelho,florianopolis,         2400 ,Mês,,84,2,2,2,https://vivareal.com.br/imovel/casa-2-quartos-sao-joao-do-rio-vermelho-bairros-florianopolis-com-garagem-84m2-aluguel-RS2400-id-2664488993/
21,2023-10-26 14:03:30.005216,Viva Real,"Casa com 4 Quartos para Aluguel, 100m²","Rua Desembargador Rid Silva, 336 , Canasvieiras, Florianópolis , SC",Rua Desembargador Rid Silva,336, Canasvieiras,florianopolis,         2000 ,Dia,,100,3,4,,https://vivareal.com.br/imovel/casa-4-quartos-canasvieiras-bairros-florianopolis-100m2-aluguel-RS2000-id-2662195464/
22,2023-10-26 14:03:30.010061,Viva Real,"Sala/Conjunto    para Aluguel, 30m²","Rua Jerônimo Coelho, 170 , Centro, Florianópolis , SC",Rua Jerônimo Coelho,170, Centro,florianopolis,         850 ,Mês,,30,1,,,https://vivareal.com.br/imovel/sala-comercial-centro-bairros-florianopolis-30m2-aluguel-RS850-id-2617933796/
23,2023-10-26 14:03:30.014916,Viva Real,"Casa com  Quarto para Aluguel, 80m²","Rua João Carlos de Menezes, 174 , Campeche, Florianópolis , SC",Rua João Carlos de Menezes,174, Campeche,florianopolis,         4000 ,Mês,,80,1,1,1,https://vivareal.com.br/imovel/casa-1-quartos-campeche-bairros-florianopolis-com-garagem-80m2-aluguel-RS4000-id-2664505131/
24,2023-10-26 14:03:30.019720,Viva Real,"Apartamento com  Quarto para Aluguel, 39m²","Carvoeira, Florianópolis , SC",Carvoeira,,Carvoeira,florianopolis,         2750 ,Mês,550,39,1,1,1,https://vivareal.com.br/imovel/apartamento-1-quartos-carvoeira-bairros-florianopolis-com-garagem-39m2-aluguel-RS2750-id-2664328693/
25,2023-10-26 14:03:30.024464,Viva Real,"Ponto comercial/Loja/Box    para Aluguel, 90m²","Rua Fúlvio Aducci, 971 , Estreito, Florianópolis , SC",Rua Fúlvio Aducci,971, Estreito,florianopolis,         2500 ,Mês,,90,2,,,https://vivareal.com.br/imovel/ponto-comercial-estreito-bairros-florianopolis-90m2-aluguel-RS2500-id-2664347517/
26,2023-10-26 14:03:30.028757,Viva Real,Apartamento com 2 Quartos para Venda/Aluguel 71m²,"Rua Hipólito Mafra, 203 , Saco dos Limões, Florianópolis , SC",Rua Hipólito Mafra,203, Saco dos Limões,florianopolis,         2950 ,Mês,700,71,2,2,2,https://vivareal.com.br/imovel/apartamento-2-quartos-saco-dos-limoes-bairros-florianopolis-com-garagem-71m2-venda-RS599000-id-2664192432/
27,2023-10-26 14:03:30.033446,Viva Real,"Cobertura com 2 Quartos para Aluguel, 114m²","Jurerê, Florianópolis , SC",Jurerê,,Jurerê,florianopolis,         750 ,Dia,,114,3,2,2,https://vivareal.com.br/imovel/cobertura-2-quartos-jurere-bairros-florianopolis-com-garagem-114m2-aluguel-RS750-id-2663981100/
28,2023-10-26 14:03:30.038293,Viva Real,"Casa com 3 Quartos para Aluguel, 180m²","Rua Isid Dutra, 2044 , Sambaqui, Florianópolis , SC",Rua Isid Dutra,2044, Sambaqui,florianopolis,         4500 ,Mês,200,180,2,3,2,https://vivareal.com.br/imovel/casa-3-quartos-sambaqui-bairros-florianopolis-com-garagem-180m2-aluguel-RS4500-id-2664373793/
29,2023-10-26 14:03:30.043172,Viva Real,"Apartamento com 2 Quartos para Aluguel, 80m²","Rua Olavo Bilac, 67 , Estreito, Florianópolis , SC",Rua Olavo Bilac,67, Estreito,florianopolis,         3500 ,Mês,504,80,2,2,1,https://vivareal.com.br/imovel/apartamento-2-quartos-estreito-bairros-florianopolis-com-garagem-80m2-aluguel-RS3500-id-2664348128/
30,2023-10-26 14:03:30.047766,Viva Real,"Apartamento com 3 Quartos para Aluguel, 77m²","Avenida Governador Ivo Silveira, 2716 , Capoeiras, Florianópolis , SC",Avenida Governador Ivo Silveira,2716, Capoeiras,florianopolis,         1300 ,Mês,650,77,1,3,1,https://vivareal.com.br/imovel/apartamento-3-quartos-capoeiras-bairros-florianopolis-com-garagem-77m2-aluguel-RS1300-id-2664347516/
